Country_ID,ISO3_Code,Country,Region,Income_Level,Lending_Type,Capital,Latitude,Longitude,Continent
199,TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,Funafuti,-8.6314877,179.089567,Oceania
200,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,Dodoma,-6.17486,35.7382,Africa
201,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,Kampala,0.314269,32.5729,Africa
202,UKR,Ukraine,Europe & Central Asia,Upper middle income,IBRD,Kiev,50.4536,30.5038,Europe
203,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,Montevideo,-34.8941,-56.0675,South America
204,USA,United States,North America,High income,Not classified,Washington D.C.,38.8895,-77.032,North America
205,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend,Tashkent,41.3052,69.269,Asia
206,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Blend,Kingstown,13.2035,-61.2653,North America
207,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,Caracas,9.08165,-69.8371,South America
208,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified,Road Town,18.431389,-64.623056,North America
209,VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Not classified,Charlotte Amalie,18.3358,-64.8963,North America
210,VNM,Viet Nam,East Asia & Pacific,Lower middle income,IBRD,Hanoi,21.0069,105.825,Asia
211,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA,Port-Vila,-17.7404,168.321,Oceania
212,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA,Apia,-13.8314,-171.752,Oceania
213,XKX,Kosovo,Europe & Central Asia,Upper middle income,IDA,Pristina,42.565,20.926,Europe
214,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,Sana'a,15.352,44.2075,Asia
215,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,Pretoria,-25.746,28.1871,Africa
216,ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,IDA,Lusaka,-15.3982,28.2937,Africa
217,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend,Harare,-17.8312,31.0672,Africa
